theme,text,rating
raznie,"Болельщик собирается на футбол... Жена :
- Ты свой ""Спартак"" любишь больше чем меня..
- Ха...Я и ""Динамо"" больше тебя люблю ! ...

",0
raznie,"Скачет ковбой на лошади по прерии.Вдруг лошадь
спотыкается, ковбой вылетает из седла, встает,
почесывая затылок:
- Ах, знал бы, где упаду, соломки бы подстелил!
Лошадь:
- Ага, заодно и поели бы.
",0
meditsinskie,"Меняю ВАЗ-2110 на вас в 21:10!
",0
raznie,"Лекция по этике. Профессор:
- Молодые люди, если вы увидели, что у девушки на ягодице нитка, вы должны сказать ей об этом как можно деликатнее. Например: ""Девушка, у вас на плече нитка"". Девушка глянет на плечо, потом ниже - и увидит.
Студентка:
- Профессор, а у вас на галстуке молния расстегнулась.

",0
aforizmi,"И он сказал ей: ""Связь разорвана""
Так она возненавидела... модем


",0
tsitati,"Unix - это не свалка костылей и подпорок. Это стройная, логичная системакостылей и подпорок. ;)    (Vitaly Lugovsky ""vsl@ontil.ihep.su"")

",0
tsitati,"""Maks|home"" Oracle - это база данных, а мускуль - это фалоимитатор с гвоздями

",0
aforizmi,"Вобласти - внутрености вобли...


",0
pro-armiu,"Военный гражданскому: Если вы все такие умные, то почему строем не ходите?
",0
raznie,"Спiймали мєнти iнтердєвочку, ну i давай її стидити, мовляв, шо ж ти, родная, бл*ядством займаєшся. А вона i каже :
- Нiкакая я не бл*ядь, а народная целiтєльнiца.
- Ага,- кажуть мєнти,- а шо ж ти таке робиш, шо ото ти народная целiтєльніца, га?
- Як то шо? Вивожу з органiзму лишню спєрму !

",0
